x y
-962.794716 975.991737
-417.794127 799.063591
947.647653 724.779904
529.280909 921.381323
-512.632140 734.228480
364.232122 412.838870
-724.290980 689.608331
259.623334 884.791347
714.029385 841.605620
799.596667 743.382637
-303.263196 405.390912
-27.379613 830.968278
359.034985 669.655955
408.243782 795.770061
-78.231887 851.925008
-271.455406 882.843408
-439.469552 417.493349
-847.591133 867.890360
-110.750058 740.410299
-668.587407 445.669976
-202.502053 550.973095
841.169342 480.072717
22.668771 738.684353
828.284661 724.588770
-816.132122 441.352869
986.074349 993.058520
-807.132754 550.657264
-373.705013 589.283795
570.750222 580.394169
204.800516 425.223423
-68.183293 716.740780
-403.737308 553.613400
-733.654431 645.225995
-409.982091 968.507586
-666.745834 951.568582
-365.792118 472.746206
-780.320640 755.166901
664.175923 615.791304
943.185508 831.584159
-563.457455 714.130655
412.155257 556.506011
-921.972615 695.847584
232.590248 913.501540
338.728341 834.643770
-925.596934 519.466181
-993.330877 494.371525
-715.071292 622.285312
724.810918 917.363203
-447.925168 810.857577
63.383074 780.518728
44.442604 484.793975
135.235430 447.581347
-333.934893 925.687209
-173.166895 652.257221
-171.303695 692.598164
967.843569 676.195297
-884.521404 709.406350
-206.914228 563.196634
582.641164 538.947903
188.370926 939.720446
-380.873815 945.218396
803.605813 762.185711
-813.746020 619.141890
-361.945728 759.154300
773.923229 801.092288
314.863347 936.738455
369.033781 452.401314
-52.102750 723.406210
-717.511683 657.069962
901.849763 770.292097
765.252247 735.325526
-125.122908 535.510413
669.913602 462.711718
-349.713199 405.986594
-264.721400 435.491982
589.678932 593.591422
-801.382568 867.685904
903.563115 601.287152
-997.052154 771.741168
-409.208302 995.731430
-903.090895 788.803417
-114.519232 723.865492
579.692737 539.352852
827.041231 843.899336
66.508720 933.395407
608.152889 915.884576
125.320713 758.236473
501.752904 792.851286
-981.539291 949.008396
-46.430296 659.909848
-499.340947 573.856454
-384.163483 779.129380
933.898209 577.253104
-582.391279 773.217274
40.952506 428.520517
-548.907741 996.765937
134.395748 524.058489
996.327052 764.418374
-736.269327 608.578195
909.353170 830.642241
-752.244977 416.795977
-627.523588 440.105057
293.005421 956.238485
-743.661845 452.663056
-837.358994 599.439137
