x y
-188.897713 211.321660
423.379642 465.550402
-69.792609 473.986048
-315.183680 438.855162
404.880969 229.613684
479.748378 278.561355
-61.130027 300.607052
-388.880777 403.918385
-241.935304 240.965941
-91.280154 416.368250
94.896074 232.028558
-237.788252 396.127205
102.843089 348.252181
211.215780 433.715517
-278.253266 414.511124
-382.582349 471.116168
-203.324127 467.276751
-181.221698 300.248916
-75.833240 409.623750
7.858285 259.342948
-414.484203 209.162284
-237.517765 423.222278
301.014623 350.006731
-470.779722 343.976642
428.854139 471.416671
230.330863 382.959995
-11.391026 385.299917
78.525061 457.832692
-262.716420 441.646827
-41.151172 373.016455
463.088539 254.876741
46.805719 271.979603
21.135831 465.953580
-268.405613 208.602246
-11.102256 346.970417
124.060088 250.378144
179.135541 493.604195
-104.484784 413.808342
-132.563351 350.141487
487.982003 341.326512
-440.381132 97.881576
181.971904 55.578483
-457.568862 191.892366
-428.554535 94.697448
21.649842 140.099173
-403.269974 36.139313
318.148554 29.717451
317.547092 147.594139
222.439592 -74.959056
-350.134558 -60.048698
-326.611387 -119.663561
-109.062198 -193.952882
331.379743 -160.074223
26.875831 -237.202664
-83.200532 -270.801592
156.859891 -256.834883
-484.512874 -425.518052
484.063724 -460.376319
-332.831590 -402.062472
-393.783655 -432.101317
