x y
108.559478 371.423921
-280.344065 494.518632
-93.720058 454.904606
129.907945 285.033256
55.307625 404.737299
-372.420938 307.437359
-330.801668 496.078031
-499.000582 225.195889
-81.837529 275.091766
-11.514321 443.403985
-340.131157 225.326931
166.838577 359.376189
-482.079631 440.186894
-380.324643 421.646973
452.125309 242.498894
475.853971 331.368277
-469.085461 305.114112
-6.118156 343.549249
362.722128 376.221020
-257.123834 243.741709
334.270164 471.599182
313.591192 392.058274
128.973104 248.881871
-497.761801 369.773177
-120.276060 479.484841
404.405696 434.930565
180.351665 405.706141
-121.176869 339.865785
131.954711 278.095429
-256.730478 370.780451
-251.229337 99.190476
-180.698408 16.757847
410.802232 122.002274
385.220041 145.290458
294.589424 80.103438
425.809807 -74.500881
-321.160049 176.707400
17.541148 -83.920655
127.005316 58.107486
413.182346 -64.344017
-119.857010 -111.557734
312.832533 -128.735321
-255.904084 -162.185156
-251.080389 -295.013811
-247.146255 -231.471143
267.243595 -237.972188
246.684630 -447.958880
477.255648 -324.506093
-116.086487 -338.780803
