x y
25.126706 30.549785
-24.490488 44.924859
0.595705 37.557923
19.907672 36.491708
39.090325 47.515810
45.929143 28.575171
4.721553 42.716007
-36.137556 42.611873
-35.070599 31.413375
-24.249175 37.034649
34.071726 22.275629
-24.571782 21.618504
31.428483 35.923927
-25.647503 43.375017
42.926362 48.020321
-15.001623 23.897186
-30.340475 37.064710
-24.891614 34.081719
11.604468 20.357062
-2.671115 30.113679
-33.781769 3.516248
29.428454 -7.485359
-18.878496 -3.130691
2.853314 17.400121
-33.435127 -5.428659
10.198194 14.774509
-23.702872 6.150273
15.407910 19.884041
18.921450 -7.654734
24.815159 3.280348
-39.334723 -12.250895
46.189808 -11.826968
-49.536578 -11.313053
-41.556415 -21.999315
-10.021735 -25.685862
-24.012960 -20.893524
-31.815297 -32.614156
-23.619708 -38.405908
-35.446102 -39.002796
-36.393144 -47.100904
